step,mean_reward,response_length_mean,kl_divergence
0,2.239013671875,530.875,18.479434967041016
10,2.93017578125,648.125,16.215167999267578
20,0.90966796875,612.5,13.200967788696289
30,3.0146484375,677.625,11.572392463684082
40,2.847900390625,815.375,10.188085556030273
50,3.369140625,596.625,12.897205352783203
60,2.37744140625,853.0,14.26034164428711
70,2.57958984375,794.0,15.75749397277832
80,2.471435546875,707.5,9.80366325378418
90,2.318359375,674.625,15.308493614196777
100,2.47216796875,811.0,12.38800048828125
110,1.4407958984375,1021.25,10.884788513183594
120,2.3275146484375,809.875,8.04289436340332
130,1.93841552734375,649.0,15.17660140991211
140,2.740234375,510.125,15.054034233093262
150,1.41424560546875,609.0,8.178055763244629
160,1.92578125,582.5,12.29861831665039
170,2.01708984375,869.25,8.4484281539917
180,2.1025390625,687.125,13.015913009643555
190,1.646240234375,747.125,15.1678466796875
200,2.632568359375,820.5,10.557618141174316
210,3.34765625,465.25,18.660507202148438
220,2.01513671875,558.625,13.978835105895996
230,2.0654296875,1090.0,7.670138835906982
240,3.06298828125,645.625,15.337223052978516
250,2.185546875,919.125,11.213132858276367
260,1.861083984375,916.375,5.286977291107178
270,2.77734375,582.125,14.864286422729492
280,2.588134765625,478.5,11.059920310974121
290,1.883056640625,484.25,11.80797004699707
300,2.549072265625,740.5,8.879276275634766
310,1.7537841796875,674.0,10.00597858428955
320,2.658203125,446.0,17.37094497680664
330,3.26953125,413.125,8.626686096191406
340,2.7406005859375,810.75,14.988122940063477
350,1.955322265625,662.5,12.358449935913086
360,1.2470703125,636.375,16.40713882446289
370,2.7685546875,669.75,10.509349822998047
380,1.81591796875,765.5,11.320222854614258
390,1.970703125,720.875,11.258563995361328
400,2.35498046875,627.0,14.355690956115723
410,2.552734375,600.875,12.352884292602539
420,2.588623046875,738.5,13.029083251953125
430,1.6591796875,824.875,12.1533203125
440,2.135772705078125,645.625,14.299473762512207
450,0.837890625,857.75,11.102930068969727
460,2.716552734375,684.375,12.44621467590332
470,3.35498046875,587.875,11.981624603271484
480,1.644317626953125,863.75,10.910629272460938
490,1.93017578125,726.5,10.06070613861084
