loss,grad_norm,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2.5409,0.86328125,0.00015873015873015873,0.08006405124099279,50,,,,,
2.1949,0.9296875,0.00019951928437718039,0.16012810248198558,100,,,,,
2.148,0.65234375,0.00019735183298061725,0.2401921537229784,150,,,,,
2.1494,0.6484375,0.00019347628994086476,0.32025620496397117,200,,,,,
2.1501,0.72265625,0.00018796065379966925,0.400320256204964,250,,,,,
2.1446,0.80859375,0.00018090169943749476,0.4803843074459568,300,,,,,
2.1508,0.765625,0.00017242328010482998,0.5604483586869495,350,,,,,
2.1385,0.765625,0.00016267415434854753,0.6405124099279423,400,,,,,
2.1234,0.8046875,0.00015182537596109138,0.7205764611689351,450,,,,,
2.1081,0.8125,0.00014006729274727503,0.800640512409928,500,,,,,
2.1073,0.640625,0.00012760620676698306,0.8807045636509208,550,,,,,
2.1115,0.55078125,0.00011466075465166182,0.9607686148919136,600,,,,,
2.096,0.67578125,0.00010145807150394342,1.0408326661329064,650,,,,,
2.0974,0.53125,8.822980568690277e-05,1.120896717373899,700,,,,,
2.114,0.74609375,7.52080544256684e-05,1.200960768614892,750,,,,,
2.1129,0.79296875,6.262129153350104e-05,1.2810248198558847,800,,,,,
2.092,0.74609375,5.0690358712633433e-05,1.3610888710968774,850,,,,,
2.1256,0.73046875,3.962459076471059e-05,1.4411529223378703,900,,,,,
2.0735,0.8671875,2.961814269615223e-05,1.5212169735788632,950,,,,,
2.0904,0.68359375,2.0846583161400835e-05,1.601281024819856,1000,,,,,
2.109,0.7734375,1.3463814013973875e-05,1.6813450760608486,1050,,,,,
2.1113,0.5546875,7.599370013497609e-06,1.7614091273018415,1100,,,,,
2.088,0.66796875,3.35614606685235e-06,1.8414731785428344,1150,,,,,
2.1016,0.76171875,8.085918802381298e-07,1.921537229783827,1200,,,,,
,,,1.9983987189751802,1248,7357.5376,2.716,0.17,1.1551990484272128e+16,2.135422407052456
